Temperature,Ratio,Resistance
-55,0.78319,78.32
-50,0.80306,80.31
-45,0.8229,82.29
-40,0.84271,84.27
-35,0.86248,86.25
-30,0.88222,88.22
-25,0.90192,90.19
-20,0.9216,92.16
-15,0.94124,94.12
-10,0.96086,96.09
-5,0.98044,98.04
0,1,100
5,1.01953,101.95
10,1.03903,103.9
15,1.05849,105.85
20,1.07794,107.79
25,1.09735,109.73
30,1.11673,111.67
35,1.13608,113.61
40,1.15541,115.54
45,1.1747,117.47
50,1.19397,119.4
55,1.21321,121.32
60,1.23242,123.24
65,1.2516,125.16
70,1.27075,127.08
75,1.28987,128.99
80,1.30897,130.9
85,1.32803,132.8
90,1.34707,134.71
95,1.36608,136.61
100,1.38506,138.51
105,1.404,140.4
110,1.42293,142.29
115,1.44182,144.18
120,1.46068,146.07
125,1.47951,147.95
130,1.49832,149.83
135,1.5171,151.71
140,1.53584,153.58
145,1.55456,155.46
150,1.57325,157.33
155,1.59191,159.19
